index	title
84	美 주요 반도체주 급락에 삼성전자·SK하이닉스도 ‘흔들’
85	SK하이닉스, 3Q 최대 매출 전망…4Q부턴 낙관·비관 '팽팽'
86	다시 휘청이는 반도체···삼성전자·하이닉스 3% 급락
87	삼성전자·SK하이닉스 동반 약세…마이크론 가이던스 실망감
88	[마감시황] 美 마이크론 실적 부진 전망에 삼성전자·SK하이닉스 하락
89	이젠 8만전자 기억도 가물가물…삼성전자 하이닉스 장중 3% 하락
90	美금리 공포에 퍼렇게 멍든 대형주…삼전·하이닉스 17조 증발
91	개미들 어쩌나···삼성전자·하이닉스 장중 3% 하락
92	美 반도체 기밀 요구, 이석희 SK하이닉스 사장 "내부 검토해봐야"
93	이젠 8만전자 기억도 가물가물…삼성전자 하이닉스 장중 3% 하락
94	[개장시황] 삼성전자·SK하이닉스·카카오뱅크 하락 출발
95	코스피, 美 파월 의장 발언 주목하며 하락세…삼전·SK하이닉스 '강세'
96	맥못춘 대장주 三電·SK하이닉스…시총 16.5조 증발
97	삼성전자·SK하이닉스 동반 약세…마이크론 가이던스 실망감
98	'협력업체 뒷돈수수' SK하이닉스 직원, 2심서 집유로 감형
99	美 주요 반도체주 급락에 삼성전자·SK하이닉스도 ‘흔들’
100	삼성·SK하이닉스 등 반도체 업계 '연대·협력협의체' 출범
